unidade;data;texto
5àsec Nestor Pestana;06/05/19 21:48;"Q2 : .....porque tanto aqui em SP quanto em Bauru, sempre obtive um excelente serviço prestado. | Q4 : Eu só recorro à 5asec, não troco o certo pelo duvidoso."
5àsec Vila Guilherme;06/05/19 21:07;
5àsec Guarulhos;06/05/19 20:37;Q2 : Costumo levar em outra lavanderia e o passamento de lá é bem melhor. Além disso, a camisa de punho duplo não estava bem limpa na gola e nas mangas. | Q4 : Costumo levar em outra lavanderia e o passamento de lá é bem melhor. Além disso, a camisa de punho duplo não estava bem limpa na gola e nas mangas.
5àsec Shopping Center Norte;06/05/19 20:10;Q2 : A atendente Thais foi excelente.
5àsec Marechal Barbacena;06/05/19 19:00;Q2 : Meus produtos vieram com pelos de animais
5àsec Butantã Shopping;06/05/19 17:42;Q2 : Excelente atendimento. Muito atencioso.
5àsec Carrefour Aricanduva;06/05/19 17:20;Q2 : SEMPRE FUI BEM ATENDINDO E TB PELA QUALIDADE. | Q4 : VCS PRECISAM DAR MAIS DESCONTOS PARA SEUS CLIENTE S QUE SAO FIEIS A 5ASEC
5àsec Jardim Marajoara 2 Posto Shell;06/05/19 16:55;
5àsec Shopping Boulevard Tatuapé;06/05/19 16:23;"Q2 : Fui buscar as minhas roupas e quem foi entrega-las a minha estava perdida e nem sabia aonde estava. Senti uma super mau organização. Não entregou todas as minhas roupas e agoraa terei que voltar lá e saber se as minhas peças ainda existem | Q4 : Organização e preocupação nas roupas do seus clientes"
5àsec Shopping Penha;06/05/19 16:19;Q2 : Levei para lavagem meu vestido de noiva e o terno do meu marido. Tinham algumas manchas que eu achei que não iriam sair mais ficou tudo impecável e outras peças também que ficaram ótimas. Ótimo atendimento também. Recomendo  | Q4 : Até agora pra mim está tudo muito bom.
5àsec Alameda Santos II;06/05/19 14:34;Q2 : minha calça foi entregue amassada e ainda com a marca do suor | Q4 : tudo que erraram
5àsec Santa Cecilia;06/05/19 14:28;Q2 : As funcionárias trabalham sempre com boa vontade, atenção, sempre tentando ser eficientes e competentes | Q4 : Está tudo muito bom.
5àsec Shopping Market Place;06/05/19 13:21;Q2 : Gostei do atendimento e do serviço  | Q4 : A depender da peça, reduzir o prazo de entrega
5àsec Shopping Center Norte;06/05/19 11:00;
5àsec Paraiso;06/05/19 08:14;Q2 : A peça voltou com as mesmas marcas de sujidade que levei e não é a primeira vez que isso ocorre
5àsec Campo Belo;06/05/19 05:06;Q2 : Atendimento e limpeza
5àsec Vila Carrão;06/05/19 04:08;Q2 : Decepção com A forma de pagamento , antecipado ou débito na retirada , devem ter o mesmo desconto , 2 ternos 56 e não 74 como paguei  | Q4 : Sistema dé pagamento já explicado no meu comentário
5àsec Alfonso Bovero;06/05/19 03:29;Q2 : Excelente serviço e atendimento
5àsec Cambuci;06/05/19 01:22;
5àsec Interlagos Autodromo;05/05/19 23:48;Q2 : Foram atenciosos no atendimento e explicaram perfeitamente o procedimento. | Q4 : Nada a acrescentar.
5àsec Avenida Atlantica;05/05/19 23:26;Q2 : Serviços são ótimos  | Q4 : Continuar assim.   Obrigada.
5àsec Braz Leme;05/05/19 23:14;Q2 : Trabalho excelente
5àsec Casa Verde;05/05/19 22:44;Q2 : Tudo que tenho enviado para lavar, vem perfeito  | Q4 : Seria exagero pedir alguma melhora.
5àsec Colinas Sao Francisco;05/05/19 20:52;Q2 : Bom atendimento
5àsec Extra Morumbi;05/05/19 19:50;Q2 : Deixei uma toalha de mesa de linho só para passar. Achei muito caro o valor cobrado. 60,00 reais.
5àsec Extra Raposo Tavares;05/05/19 19:32;
5àsec Aclimaçao;05/05/19 19:02;Q2 : Excelente atendimento!
5àsec Vila Mariana Klabin;05/05/19 18:30;
5àsec Guarulhos Tiradentes;05/05/19 17:39;Q2 : Levei dois ternos para lavar e em um a manga ficou com uma mancha branca na costura e o outro a calça ficou com uma mancha branca na região de fora do zíper. A calça de um dos ternos nem pareceu que foi lavada, pois continuou encardida. Esperava que realmente ficasse limpo. Mas dessa vez não ficou. Já mandei lavar terno outras vezes e sempre voltou limpo de verdade. | Q4 : Fazer com que as roupas lavadas realmente fiquem limpas.
5àsec Cambuci;05/05/19 17:17;Q2 : Sistema da loja apresenta inconsistência com os preços apresentados nos folders
5àsec Carrefour Vila Maria;05/05/19 17:15;
5àsec Pedroso Alvarenga;05/05/19 16:55;Q2 : Achei caro. A gola de uma camisa branca veio muito mal passada. Justamente a camisa que cobraram bem mais, só porque era de mulher. Tive que retornar à loja para solicitar que passassem de novo a camisa. | Q4 : Preço e qualidade do serviço.
5àsec Vila Mariana;05/05/19 16:40;
5àsec Vila Romana;05/05/19 16:35;
5àsec Reebok Vila Olimpia;05/05/19 16:33;Q2 : O reajuste de preços foi muito agressivo. O pacote que compro sempre há 7 anos não existe mais, e agora pelas minhas contas, pra continuar na 5asec gastaria 25% a mais. É muita diferença. Não vale mais a pena comprar pacotes, infelizmente. Fica mais barato lavar em casa e contratar uma passadeira. | Q4 : Não sei se haverá próxima visita. Estou pensando em experimentar contratar passadeira ou experimentar concorrentes, físicos ou online. Entendo reajustes, mas comparando ao que eu comprei em janeiro (90 peças por 810 reais) o reajuste não faz sentido em relação a nenhum índice de inflação.
5àsec Mascote II;05/05/19 16:13;
5àsec Santa Cecilia;05/05/19 16:12;Q2 : Atendimento  | Q4 : Preço
5àsec Carrefour Pirituba;05/05/19 16:08;Q2 : Camisas brancas bem alvejadas e passadas perfeitamente
5àsec Cursino;05/05/19 16:05;Q2 : Muito caro e nenhum diferencial | Q4 : Roupa nao estava pronta no dia da coleta
5àsec Reebok Vila Olimpia;05/05/19 14:46;Q2 : o serviço é otimo, só um pouco caro
5àsec Jardim Paulista;05/05/19 05:31;Q2 : Sou cliente da José Maria Lisboa na qual as excelentes funcionárias trabalham em condições para lá de contrarias. Já reclamei mais de uma vez e não há uma atitude por parte da 5 a sec. Terei que denunciar aos órgãos competentes? | Q4 : Fazer com que o explorador proprietário da franquia de condições de trabalho decente as suas 2 excelentes funcionárias.
5àsec Shopping Eldorado;05/05/19 02:44;Q2 : Atendimento muito bom e rapidez  | Q4 : Pegar e entregar em casa.
5àsec Penha;05/05/19 01:39;Q2 : Qualidade do serviço | Q4 : Não é uma melhoria, sim uma sugestão, onde a empresa poderia fazer uma campanha para retorno dos cabides. Visando reutilização devido boa qualidade, exemplo a cada 10 cabides um % de desconto ou lavagem de uma peça grátis.
5àsec Brooklin Paulista;05/05/19 00:38;Q2 : Roupa impecavel
5àsec Posto Avançado Extra Brigadeiro;05/05/19 00:15;Q2 : fui muito bem atendida
5àsec Granja Viana Alpha;05/05/19 00:10;Q4 : Reduzir o valor do pacote para clientes  assíduos.
5àsec Bela Vista Competition;04/05/19 23:34;
5àsec Alfonso Bovero;04/05/19 22:20;Q2 : Atenção e eficiência
5àsec Centro Empresarial;04/05/19 22:03;Q4 : Os planos tem que ser melhor explicados, sempre a problemas na hora da aquisição
5àsec Oscar Freire;04/05/19 21:59;Q2 : Pelo ótimo resultado
5àsec Portal Do Morumbi;04/05/19 21:09;Q2 : A máxima. As meninas são incríveis. E o atendimento e excelente. E a melhor para mim.  | Q4 : Nada. Acho a am melhor de todas!
5àsec Vila Mariana;04/05/19 20:15;Q2 : Atendimento e tempo de entrega
5àsec Santa Cecilia;04/05/19 19:05;Q2 : Atendimento e serviço excelentes | Q4 : Perfeito!
5àsec Brooklin Paulista;04/05/19 17:06;Q2 : Ótimo atendimento e as roupas lavadas parecem novas
5àsec Shopping Penha;04/05/19 16:33;Q2 : Atende ao propósito  | Q4 : Novos pacotes ou pacotes personalizados de acordo com o uso de cada um
5àsec Vila Mariana Klabin;04/05/19 16:27;Q2 : Excelente serviço
5àsec Tabapua;04/05/19 16:23;Q2 : atendimento amavel, pecas foram lavadas rapidamente
5àsec Extra Raposo Tavares;04/05/19 16:07;
5àsec Wal Mart Osasco;04/05/19 16:05;Q2 : Não tive problemas com a loja e entrega realizada antes do prazo previsto é de acordo com o contratado
5àsec Shopping Penha;04/05/19 16:05;Q2 : Serviço eficaz e preço justo.  | Q4 : Talvez o tempo para retirada das peças poderia diminuir.
5àsec Planalto Paulista;04/05/19 16:03;Q2 : Excelente Serviço   | Q4 : Talvez baixar preços
5àsec Pinheiros;04/05/19 16:00;Q2 : Ótimo atendimento
5àsec Shopping Penha;04/05/19 15:44;
5àsec Centro Empresarial;04/05/19 14:53;
5àsec Vila Guilherme;04/05/19 05:05;Q2 : Loja organizada, limpa, as atendentes bem atenciosas, o produto que deixei pra lavar, foi entregue na data combinada, limpissimo e cheiroso, eu recomendo a 5a séc Vila Guilherme. | Q4 : Por enquanto está perfeito.
5àsec Penha;04/05/19 02:09;Q2 : Atendimento ótimo e simpático.
5àsec Ibirapuera;04/05/19 01:40;
5àsec Oscar Freire;04/05/19 01:40;Q2 : Atendimento e serviço de primeira | Q4 : Tudo 100%
5àsec Butantã Shopping;04/05/19 00:37;Q2 : Atendimento
5àsec Ministro Rocha Azevedo;04/05/19 00:36;Q2 : Responsabilidade
5àsec Shopping Center Norte;04/05/19 00:08;
5àsec Jardim Marajoara 2 Posto Shell;03/05/19 22:19;Q2 : Muita gentileza, rapidez e proatividade!  | Q4 : Nada!!
5àsec Oscar Freire;03/05/19 22:12;Q2 : A limpeza do casaco de camurça ficou ótima! | Q4 : O preço do serviço é um pouco caro.
5àsec Braz Leme;03/05/19 21:44;
5àsec Perdizes;03/05/19 21:43;Q2 : preço estão altos
5àsec Cursino;03/05/19 20:37;
5àsec Av. Santa Ines;03/05/19 18:31;Q2 : muita demora p/entregar | Q4 : mais rapidez
5àsec Aclimaçao;03/05/19 18:28;"Q2 : Ainda estou conhecendo o serviço prestado. Não gostei do aplicativo, nada funcionou, precisa de melhora urgentemente. | Q4 : O aplicativo deve funcionar para que eu estabeleça uma comunicação eficiente com a lavanderia, não quero ficar ligando para agendar retirada de roupas em casa. Também não acho legal a lavanderia ficar.me.ligando caso a roupa esteja com problema... poderia ser muito.melhor me comunicar pelo aplicativo"
5àsec Sumare;03/05/19 18:20;
5àsec Pinheiros;03/05/19 17:39;Q4 : Um dos ternos que lavamos voltou com cheiro forte que estava antes de lavar. O atendimento na loja foi otimo porem a pessoa que veio entregar foi um pouco grossa com quem recebeu as peças na minha casa.
5àsec Analia Franco;03/05/19 17:29;Q2 : Serviços rápido e eficiente | Q4 : Nada... Tudo otimo
5àsec Pinheiros;03/05/19 17:02;Q2 : Muito bom
5àsec Tatuape;03/05/19 16:56;Q2 : Ótimo atendimento e, qualidade do serviço.
5àsec Avenida Atlantica;03/05/19 16:31;Q2 : Cordialidade das atendentes
5àsec Shopping Market Place;03/05/19 16:21;Q2 : Bom atendimento
5àsec Extra Raposo Tavares;03/05/19 16:20;Q2 : ótimo atendimento,  ótimo preço  | Q4 : está tudo ótimo
5àsec Freguesia Do O;03/05/19 16:20;Q2 : A educação e a competência da equipe.  A Unidade é super organizada.
5àsec Moema Lavandisca;03/05/19 16:19;Q2 : Porque uma calça minha veio com mancha  | Q4 : Que as roupas viessem sem mancha, só isso
5àsec Wal Mart Pacaembu;03/05/19 16:15;Q2 : Terno veio com marcas nas costuras da cintura, não sei se de algum produto utilizado  | Q4 : Desconto para quem leva 2 ternos no mesmo pedido.  Cuidado um  pouco maior com a roupa.
5àsec Imirim;03/05/19 16:14;
5àsec Avenida Atlantica;03/05/19 16:14;Q2 : Cordialidade, qualidade e pontualidade. | Q4 : Promoção de fidelidade (preço).
5àsec Shopping Iguatemi;03/05/19 16:10;
5àsec Vila Carrão;03/05/19 16:08;Q2 : Bom atendimento, entrega no prazo, qualidade de serviço.
5àsec Moema Indios;03/05/19 12:42;Q2 : Serviço  de Boa qualidade.
5àsec Vila Guilherme;02/05/19 22:52;
5àsec Shopping Analia Franco;02/05/19 18:06;
5àsec Ministro Rocha Azevedo;02/05/19 17:16;Q2 : Sou a proprietaria da loja e trabalhamos bem! | Q4 : Escolher melhor os participantes da pesquisa. Tenho clientes que ja receberam a pesquisa muitas vezes e reclamam do incomodo.
5àsec Campinas Sousas;02/05/19 16:58;
5àsec Ibirapuera;02/05/19 16:26;
5àsec Parque Shopping Barueri;02/05/19 16:15;Q2 : Melhor preço e atendimento bom
5àsec Pio Xi;02/05/19 16:06;Q2 : atendimento!
5àsec Interlagos Autodromo;02/05/19 15:40;
5àsec Carrefour Aricanduva;02/05/19 15:28;Q2 : Pontualidade e Muito bom atendimento
5àsec Wal Mart Pacaembu;02/05/19 14:25;Q2 : Atendimento | Q4 : Apenas manter o padrão oferecido atualmente.
5àsec Tremembe;02/05/19 13:30;Q2 : Serviço com qualidade e eficiência sempre
5àsec Shopping Plaza Sul;02/05/19 13:00;
5àsec Vila Carrão;02/05/19 12:43;
5àsec Shopping Plaza Sul;02/05/19 11:37;Q2 : Bom atendimento  | Q4 : Preço
5àsec Jardim Guedala;02/05/19 05:24;"Q2 : Bom Atendimento e as peças lavadas vieram impecaveis  | Q4 : O prazo da lavagem . Demora 4  dias"
5àsec Jardim Avelino;02/05/19 04:30;
5àsec Interlagos Sonda;02/05/19 03:13;Q4 : Ter retira em domicílio sempre, como parte do serviço.
5àsec Oscar Freire;02/05/19 01:55;Q2 : Otimo atendimento
5àsec Brooklin Paulista;02/05/19 00:50;Q2 : Ótimo atendimento e qualidade dos serviços
5àsec Vila Romana;02/05/19 00:12;Q2 : Atendimento, rapidez | Q4 : Preços e promoções
5àsec Vargem Grande Paulista;01/05/19 23:13;Q2 : Sempre trataram minhas roupas com cuidado. E atendentes atenciosas. Meu primeiro contato foi com a dna da franquia, que fazia servico de delivery no meu condominio.
5àsec Vila Mariana Klabin;01/05/19 21:44;
5àsec Alphaville Bradesco Seguros;01/05/19 20:16;Q2 : Atendimento melhorou bastante!
5àsec Colinas Sao Francisco;01/05/19 20:08;Q2 : Muita educação de quem atendeu. Orientou sobre a melhor opção, indicando o pacote.
5àsec Brooklin;01/05/19 19:59;Q2 : Qualidade do serviço  | Q4 : Mais atendentes para receber as peças
5àsec Vila Mariana;01/05/19 19:09;Q2 : Porque considero o serviço satisfatório.
5àsec Shopping Penha;01/05/19 19:01;Q2 : Só achei que demorou para entregar
5àsec Oscar Freire;01/05/19 18:40;
5àsec Alameda Campinas;01/05/19 18:20;Q2 : Atendimento
5àsec Oscar Freire;01/05/19 18:18;Q2 : Data de entrega não foi cumprida | Q4 : Cumprir o prazo prometido.
5àsec Mergenthaler;01/05/19 18:16;Q2 : Cumpriu o prazo e todos são muitos simpáticos !
5àsec Extra Raposo Tavares;01/05/19 17:58;Q2 : Porque o atendimento é ótimo ,funcionários gentis e  prestativos.Tudo muito bem cuidando entregues no dia marcado. | Q4 : Continuando assim está ótimo
5àsec Nestor Pestana;01/05/19 17:24;Q2 : Atendimento excelente e qualidade n entrega das peças. | Q4 : Algumas peças elas colocam q estao com manchas, mas algumas vezes são peças novas. Da impressao q é para q n haja reclamação se a peça for danificada!
5àsec Braz Leme;01/05/19 17:21;Q2 : Qualidade do serviço e profissionalismo da(o)s atendente(s).
5àsec Extra Raposo Tavares;01/05/19 17:04;Q2 : Bom atendimento  na recepção e na entrega. | Q4 : Poderiam criar descontos por fidelidade.
5àsec Portal Do Morumbi;01/05/19 16:47;Q2 : Alem de ser carissima, o blaser que foi para lavar voltou com o mesmo cheiro.
5àsec Ermano Marchetti;01/05/19 16:42;
5àsec Carrefour Vila Maria;01/05/19 16:23;Q2 : Fui bem atendida e o serviço foi bom | Q4 : Mudar o cheiro do produto utilizado
5àsec Colinas Sao Francisco;01/05/19 16:19;
5àsec Tatuape;01/05/19 16:16;Q2 : Bom atendimento, e serviço bem realizado. | Q4 : Ter uma entrega mais ágil e oferecer o serviço de entrega sem custo adicional.
5àsec Vila Mariana;01/05/19 16:09;Q2 : Preço  | Q4 : Preço do pacote
5àsec Guarulhos;01/05/19 16:08;Q2 : Pela qualidade do serviço | Q4 : Não tem
5àsec Vila Beatriz;01/05/19 16:08;
